x,y
-289.9613878677772,-599.3729094163258
-289.9675824302705,-598.8729534443744
-289.9737769927638,-598.372997472423
-289.9799715552571,-597.8730415004716
-289.9881281229488,-597.3731105611517
-289.9962846906405,-596.8731796218319
-290.0044412583322,-596.3732486825121
-290.01259782602386,-595.8733177431923
-290.02075439371555,-595.3733868038724
-290.02891096140723,-594.8734558645526
-290.03599915984,-594.3735091408939
-290.04308735827277,-593.8735624172352
-290.05017555670554,-593.3736156935765
-290.0572637551383,-592.8736689699178
-290.0643519535711,-592.3737222462591
-290.07144015200385,-591.8737755226005
-290.0785283504366,-591.3738287989418
-290.08228793304687,-590.8738467187235
-290.0860475156571,-590.3738646385052
-290.0898070982674,-589.8738825582869
-290.09356668087764,-589.3739004780687
-290.0973262634879,-588.8739183978504
-290.10108584609816,-588.3739363176321
-290.10828287667954,-587.8739936398457
-290.1154799072609,-587.3740509620593
-290.1226769378423,-586.8741082842729
-290.1298739684237,-586.3741656064865
-290.13707099900506,-585.8742229287001
-290.14426802958644,-585.3742802509137
-290.1523269768338,-584.8743502486848
-290.1603859240812,-584.3744202464559
-290.1684448713286,-583.874490244227
-290.17650381857595,-583.3745602419981
-290.18456276582333,-582.8746302397692
-290.1926217130707,-582.3747002375403
-290.2006806603181,-581.8747702353114
-290.2074123447268,-581.3748173664122
-290.21414402913547,-580.874864497513
-290.22087571354416,-580.3749116286139
-290.22760739795285,-579.8749587597147
-290.23433908236154,-579.3750058908155
-290.24107076677024,-578.8750530219163
-290.2478024511789,-578.3751001530171
-290.2530209398802,-577.8751305765464
-290.2582394285814,-577.3751610000758
-290.26345791728266,-576.8751914236051
-290.2686764059839,-576.3752218471344
-290.27389489468516,-575.8752522706637
-290.2791133833864,-575.3752826941931
-290.28433187208765,-574.8753131177224
-290.2900038890722,-574.3753493965748
-290.2956759060567,-573.8753856754273
-290.30134792304125,-573.3754219542798
-290.3070199400258,-572.8754582331322
-290.3126919570103,-572.3754945119847
-290.321840570926,-571.8755782520423
-290.33098918484166,-571.3756619920998
-290.3401377987573,-570.8757457321574
-290.349286412673,-570.375829472215
-290.35843502658867,-569.8759132122725
-290.36758364050434,-569.3759969523301
-290.37576546251785,-568.8760639193433
-290.38394728453136,-568.3761308863566
-290.39212910654487,-567.8761978533698
-290.4003109285584,-567.3762648203831
-290.4084927505719,-566.8763317873963
-290.4166745725854,-566.3763987544096
-290.4248563945989,-565.8764657214228
-290.43303821661243,-565.3765326884361
-290.44122003862594,-564.8765996554494
-290.4452748962672,-564.3766169794782
-290.4493297539085,-563.876634303507
-290.4533846115498,-563.3766516275358
-290.45743946919106,-562.8766689515646
-290.46149432683234,-562.3766862755934
-290.4655491844736,-561.8767035996223
-290.4724598999011,-561.3767529785151
-290.47937061532855,-560.876802357408
-290.486281330756,-560.3768517363009
-290.4931920461835,-559.8769011151937
-290.50010276161095,-559.3769504940866
-290.5070134770384,-558.8769998729795
-290.5139241924659,-558.3770492518723
-290.52083490789335,-557.8770986307652
-290.5277456233208,-557.3771480096581
-290.5330963829553,-556.8771766458601
-290.5384471425898,-556.3772052820622
-290.5437979022243,-555.8772339182642
-290.5491486618588,-555.3772625544663
-290.5544994214933,-554.8772911906683
-290.5598501811278,-554.3773198268703
-290.5652009407623,-553.8773484630724
-290.57220219030455,-553.3773976485626
-290.5792034398468,-552.8774468340528
-290.5862046893891,-552.377496019543
-290.59320593893136,-551.8775452050331
-290.60020718847363,-551.3775943905233
-290.6072084380159,-550.8776435760135
-290.6149668766372,-550.3777055586478
-290.6227253152585,-549.8777675412821
-290.6304837538798,-549.3778295239164
-290.6382421925011,-548.8778915065507
-290.6460006311224,-548.377953489185
-290.65375906974367,-547.8780154718193
-290.66125728110507,-547.3780724840539
-290.66875549246646,-546.8781294962885
-290.67625370382785,-546.3781865085231
-290.68375191518925,-545.8782435207577
-290.69125012655064,-545.3783005329923
-290.69621164674425,-544.8783265111831
-290.70117316693785,-544.3783524893739
-290.70613468713145,-543.8783784675647
-290.71109620732506,-543.3784044457556
-290.71363601813204,-542.878411950777
-290.716175828939,-542.3784194557985
-290.718715639746,-541.87842696082
-290.721255450553,-541.3784344658415
-290.7258465489814,-540.8784599660497
-290.7304376474098,-540.378485466258
-290.73502874583824,-539.8785109664663
-290.73961984426666,-539.3785364666745
-290.7442109426951,-538.8785619668828
-290.7488020411235,-538.378587467091
-290.7458656056843,-537.8785971858168
-290.7429291702451,-537.3786069045426
-290.73999273480587,-536.8786166232684
-290.737639068267,-536.3786366199356
-290.73528540172816,-535.8786566166028
-290.7329317351893,-535.37867661327
-290.73057806865046,-534.8786966099373
-290.7282244021116,-534.3787166066045
-290.72587073557276,-533.8787366032717
-290.7235170690339,-533.3787565999389
-290.72116340249505,-532.8787765966061
-290.7188097359562,-532.3787965932734
-290.71645606941735,-531.8788165899406
-290.7141024028785,-531.3788365866078
-290.7133073856239,-531.209954239428
-290.6978776596878,-530.7102013043071
-290.68244793375163,-530.2104483691862
-290.6513969645787,-529.7114209708687
-290.6203459954057,-529.2123935725513
-290.5677647996282,-528.7151717700565
-290.47809562635223,-528.2232811156725
-290.38842645307625,-527.7313904612886
-290.25238647870816,-527.2502539668129
-290.0779253434859,-526.7816801069998
-289.88220186512433,-526.3215835087491
-289.6653730878185,-525.8710500395516
-289.4485443105127,-525.4205165703542
-289.2120191509593,-524.9800057012488
-288.9634064755032,-524.546206026473
-288.71479380004706,-524.1124063516971
-288.4577057280678,-523.6835816723784
-288.19491456158823,-523.2582277172979
-287.927741498636,-522.8356115632555
-287.64774122532066,-522.4213870394226
-287.3677409520053,-522.0071625155897
-287.0716423755785,-521.6042967909444
-286.7743352482513,-521.2023205037101
-286.47658565094446,-520.8006701039375
-286.160246409138,-520.413504501569
-285.8277737182867,-520.0401170586471
-285.4837286816066,-519.6773584294668
-285.13539533633417,-519.3187043880733
-284.7829969996909,-518.9640452113712
-284.43059866304765,-518.609386034669
-284.07506101473894,-518.2578839128176
-283.7112266268545,-517.9149653031598
-283.341509435077,-517.5783890770635
-282.9665986309559,-517.2476206637216
-282.5916878268348,-516.9168522503796
-282.2113659187922,-516.5923568712333
-281.81861160623197,-516.2830097851103
-281.41722926396596,-515.9849246276484
-281.0058059372018,-515.7008697731723
-280.588999070172,-515.4247903929793
-280.1595288059301,-515.1688474065887
-279.7300585416882,-514.9129044201982
-279.28274126200915,-514.6895856871953
-278.8173051949489,-514.5070177998479
-278.3447751263917,-514.3436940459338
-277.86276534048585,-514.2109390420314
-277.38075555458,-514.078184038129
-276.8908397087079,-513.9784924024849
-276.40092386283584,-513.8788007668408
-275.91100801696376,-513.7791091311966
-275.81110391533,-513.758779918775
-275.3112898631127,-513.7453544057356
-274.81147581089533,-513.7319288926963
-274.311661758678,-513.7185033796569
